27.81,49.62,83.08,116.66,130.41,150.72,220.19,156.15,148.64,203.78,206.04,107.16,68.37,45.34,49.96,21.89,17.03,11.74,14.75,13.67,5.68,3.31,1.16,-0.15,0
27.72,48.55,65.21,95.28,117,133.91,152.34,151.93,160.11,179.53,147.62,170.39,121.82,52.59,33.09,38.41,44.25,69.58,4.02,3.05,3.04,3,2.97,2,1
30.43,33.48,44.81,62.47,77.44,104.22,102.74,137,186.07,219.32,181.76,120.92,143.18,82.41,48.47,74.71,60.09,7.07,6.09,6.54,6.67,7.31,5.74,3.63,2
16.67,30.11,39.97,44.12,59.58,77.57,106.89,166.55,175.24,185.28,154.51,83.04,62.62,62.33,60.56,55.92,15.17,8.25,36.68,61.93,20.27,68.59,46.5,0.24,3
8.82,18.35,8.66,27.59,48.63,60.18,91.33,145.71,116.07,106.27,68.69,53.11,37.93,47.96,47.43,69.21,44.95,29.17,17.92,16.26,14.66,17.26,31.22,46.72,4
6.63,10.41,24.82,26.09,30.16,52.31,64.71,76.31,84.64,99.43,62.52,46.82,55.77,82.41,140.26,81.27,56.46,30.42,17.29,8.3,2.98,2.7,5.89,5.27,5
21.84,6.64,18.97,32.89,43.15,62.86,104.67,130.23,114.85,106.99,61.9,55.56,86.81,89.28,122.42,123.97,109.1,98.42,77.61,32.49,14.67,7.37,0.04,0.64,6
53.34,26.8,6.64,10.89,17.2,56.18,79.7,90.85,98.28,80.87,74.79,75.55,73.44,74.12,68.17,46.24,39.94,31.22,36.88,40.03,117.43,12.7,1.73,0,7
25.67,63.06,22.14,17.07,41.74,60.27,81.42,114.44,102.32,101.79,111.03,119.23,114.08,110.53,59.19,42.47,14.64,6.94,6.94,27.75,0,0,0.09,0.08,8
12.83,69.21,46.76,13.97,33.89,61.83,84.75,121.12,145.27,153.18,204.79,227.92,236.3,228.37,79.34,25.93,6.94,6.94,6.94,7.55,0,0,0,0,9
0,68.66,59.04,33.36,47.45,57.84,78.92,107.83,168.01,130.96,212.55,165.81,210.24,181.17,189.76,137.34,84.65,8.68,6.96,8.47,0,0,0,0,10
0,95.17,80.04,59.9,39.58,50.28,63.82,80.61,66.38,198.77,244.35,294.25,264.35,176.41,60.22,77.41,53.17,56.16,6.95,7.53,3.78,0,0,0,11
0,134.99,130.37,96.86,75.7,58.86,57.2,55.19,78.13,108.56,154.38,319.17,372.88,275.47,130.26,54.94,25.5,8.05,8.08,5.12,5.68,0,0,0,12
0,48.09,142.56,140.38,154.73,87.94,58.11,52.84,67.15,83.67,118.92,150.07,272.97,341.14,238.66,190.2,116.89,91.49,14.02,42.29,5.12,0,0,0,13
0,54.19,146.38,99.48,96.19,102.95,76.14,57.78,47.04,64.37,84.24,162.72,121.33,213.16,328.48,285.45,283.83,212.81,164.55,92.3,7.24,1.17,0,0,14
0,6.92,195.17,132.53,135.23,89.85,89.46,60.3,50.34,39.18,59.07,74.52,84.93,187.12,123.97,103.7,128.99,165.13,249.71,95.4,10,2.39,0,0,15
0,21.74,123.13,176.74,158.27,137.24,105.31,86.63,53.12,29.04,30.41,39.05,49.23,63.28,111.42,101.2,40.01,59.85,74.51,17.06,2.44,2.29,0,0,16
0,0,62.05,136.31,201.8,168.13,95.2,58.91,46.94,49.27,37.1,17.97,30.94,33.39,44.03,55.65,78.22,14.43,9.95,7.77,13.03,21.73,2.16,0.53,17
0,0,79.63,139.7,173.17,192.87,196.35,144.66,106.54,57.17,41.16,32.13,13.86,10.92,12.07,22.38,24.72,6.8,4.2,16.47,15.71,33.96,7.58,-0.05,18
0,0,33.27,57.54,167.22,196.48,194.8,182.19,119.7,73.02,48.37,33.75,26.24,16.36,6.81,6.64,6.64,8.47,6.19,3.59,3.81,8.6,5.22,0,19
0,0,29.78,54.97,144.8,207.49,165.34,171.4,174.92,100.27,61.46,50.19,26.08,17.18,8.47,6.64,6.33,6.33,5.67,4.27,0,0,0,0,20
0,0,31.41,132.74,185.58,121.83,185.38,160.66,116.15,118.11,141.79,65.56,48.84,23.14,18.13,10.29,6.03,6.04,5.69,3.74,3.9,0,0,0,21
0,0,19.59,42.3,96.27,187.12,179.66,221.39,154.26,142.16,148.57,67.18,40.69,39.75,26.1,14.48,8.66,3.9,3.57,3.9,3.9,3.9,1.08,0,22
0,3.01,5.91,33.51,104.33,152.22,198.2,191.84,228.73,168.1,144.28,110.74,57.65,42.64,27.92,15.41,8.06,3.9,3.88,3.94,3.97,0.12,3.99,-0.18,23
0,5.63,7.68,63.16,46,79.57,227.31,203.93,172.56,177.15,140.46,123.99,110.35,65.12,34.32,24.53,9.56,3.33,5.59,5.49,5.91,5.87,5.83,3.57,24
