train,speed,schedule,direction,station,distance,zone,time
439,normal,weekend,N,Burlingame,307,2,5:00pm
439,normal,weekend,N,San Mateo,334,2,4:57pm
439,normal,weekend,N,Hayward Park,354,2,4:54pm
439,normal,weekend,N,Hillsdale,391,2,4:51pm
439,normal,weekend,N,Belmont,428,2,4:48pm
439,normal,weekend,N,San Carlos,458,2,4:45pm
439,normal,weekend,N,Redwood City,499,2,4:41pm
439,normal,weekend,N,Atherton,543,3,4:37pm
439,normal,weekend,N,Menlo Park,574,3,4:34pm
439,normal,weekend,N,Palo Alto,604,3,4:31pm
439,normal,weekend,N,California Ave,649,3,4:27pm
439,normal,weekend,N,San Antonio,676,3,4:23pm
439,normal,weekend,N,Mountain View,702,3,4:19pm
439,normal,weekend,N,Sunnyvale,731,3,4:14pm
439,normal,weekend,N,Lawrence,757,4,4:10pm
439,normal,weekend,N,Santa Clara,805,4,4:05pm
439,normal,weekend,N,San Jose,862,4,4:00pm
441,normal,weekend,N,San Francisco,0,1,6:36pm
441,normal,weekend,N,22nd Street,40,1,6:28pm
441,normal,weekend,N,Bayshore,124,1,6:23pm
441,normal,weekend,N,So. San Francisco,178,1,6:17pm
441,normal,weekend,N,San Bruno,216,1,6:12pm
441,normal,weekend,N,Millbrae,249,2,6:08pm
441,normal,weekend,N,Broadway,280,2,6:03pm
441,normal,weekend,N,Burlingame,307,2,6:00pm
441,normal,weekend,N,San Mateo,334,2,5:57pm
441,normal,weekend,N,Hayward Park,354,2,5:54pm
441,normal,weekend,N,Hillsdale,391,2,5:51pm
441,normal,weekend,N,Belmont,428,2,5:48pm
441,normal,weekend,N,San Carlos,458,2,5:45pm
441,normal,weekend,N,Redwood City,499,2,5:41pm
441,normal,weekend,N,Atherton,543,3,5:37pm
441,normal,weekend,N,Menlo Park,574,3,5:34pm
441,normal,weekend,N,Palo Alto,604,3,5:31pm
441,normal,weekend,N,California Ave,649,3,5:27pm
441,normal,weekend,N,San Antonio,676,3,5:23pm
441,normal,weekend,N,Mountain View,702,3,5:19pm
441,normal,weekend,N,Sunnyvale,731,3,5:14pm
441,normal,weekend,N,Lawrence,757,4,5:10pm
441,normal,weekend,N,Santa Clara,805,4,5:05pm
441,normal,weekend,N,San Jose,862,4,5:00pm
443,normal,weekend,N,San Francisco,0,1,7:36pm
443,normal,weekend,N,22nd Street,40,1,7:28pm
443,normal,weekend,N,Bayshore,124,1,7:23pm
443,normal,weekend,N,So. San Francisco,178,1,7:17pm
443,normal,weekend,N,San Bruno,216,1,7:12pm
443,normal,weekend,N,Millbrae,249,2,7:08pm
443,normal,weekend,N,Broadway,280,2,7:03pm
443,normal,weekend,N,Burlingame,307,2,7:00pm
443,normal,weekend,N,San Mateo,334,2,6:57pm
443,normal,weekend,N,Hayward Park,354,2,6:54pm
443,normal,weekend,N,Hillsdale,391,2,6:51pm
443,normal,weekend,N,Belmont,428,2,6:48pm
443,normal,weekend,N,San Carlos,458,2,6:45pm
443,normal,weekend,N,Redwood City,499,2,6:41pm
443,normal,weekend,N,Atherton,543,3,6:37pm
443,normal,weekend,N,Menlo Park,574,3,6:34pm
443,normal,weekend,N,Palo Alto,604,3,6:31pm
443,normal,weekend,N,California Ave,649,3,6:27pm
443,normal,weekend,N,San Antonio,676,3,6:23pm
443,normal,weekend,N,Mountain View,702,3,6:19pm
443,normal,weekend,N,Sunnyvale,731,3,6:14pm
443,normal,weekend,N,Lawrence,757,4,6:10pm
443,normal,weekend,N,Santa Clara,805,4,6:05pm
443,normal,weekend,N,San Jose,862,4,6:00pm
445,normal,weekend,N,San Francisco,0,1,8:36pm
445,normal,weekend,N,22nd Street,40,1,8:28pm
445,normal,weekend,N,Bayshore,124,1,8:23pm
445,normal,weekend,N,So. San Francisco,178,1,8:17pm
445,normal,weekend,N,San Bruno,216,1,8:12pm
445,normal,weekend,N,Millbrae,249,2,8:08pm
445,normal,weekend,N,Broadway,280,2,8:03pm
445,normal,weekend,N,Burlingame,307,2,8:00pm
445,normal,weekend,N,San Mateo,334,2,7:57pm
445,normal,weekend,N,Hayward Park,354,2,7:54pm
445,normal,weekend,N,Hillsdale,391,2,7:51pm
445,normal,weekend,N,Belmont,428,2,7:48pm
445,normal,weekend,N,San Carlos,458,2,7:45pm
445,normal,weekend,N,Redwood City,499,2,7:41pm
445,normal,weekend,N,Atherton,543,3,7:37pm
445,normal,weekend,N,Menlo Park,574,3,7:34pm
445,normal,weekend,N,Palo Alto,604,3,7:31pm
445,normal,weekend,N,California Ave,649,3,7:27pm
445,normal,weekend,N,San Antonio,676,3,7:23pm
445,normal,weekend,N,Mountain View,702,3,7:19pm
445,normal,weekend,N,Sunnyvale,731,3,7:14pm
445,normal,weekend,N,Lawrence,757,4,7:10pm
445,normal,weekend,N,Santa Clara,805,4,7:05pm
445,normal,weekend,N,San Jose,862,4,7:00pm
447,normal,weekend,N,San Francisco,0,1,9:36pm
447,normal,weekend,N,22nd Street,40,1,9:28pm
447,normal,weekend,N,Bayshore,124,1,9:23pm
447,normal,weekend,N,So. San Francisco,178,1,9:17pm
447,normal,weekend,N,San Bruno,216,1,9:12pm
447,normal,weekend,N,Millbrae,249,2,9:08pm
447,normal,weekend,N,Broadway,280,2,9:03pm
447,normal,weekend,N,Burlingame,307,2,9:00pm
447,normal,weekend,N,San Mateo,334,2,8:57pm
447,normal,weekend,N,Hayward Park,354,2,8:54pm
447,normal,weekend,N,Hillsdale,391,2,8:51pm
447,normal,weekend,N,Belmont,428,2,8:48pm
447,normal,weekend,N,San Carlos,458,2,8:45pm
447,normal,weekend,N,Redwood City,499,2,8:41pm
447,normal,weekend,N,Atherton,543,3,8:37pm
447,normal,weekend,N,Menlo Park,574,3,8:34pm
447,normal,weekend,N,Palo Alto,604,3,8:31pm
447,normal,weekend,N,California Ave,649,3,8:27pm
447,normal,weekend,N,San Antonio,676,3,8:23pm
447,normal,weekend,N,Mountain View,702,3,8:19pm
447,normal,weekend,N,Sunnyvale,731,3,8:14pm
447,normal,weekend,N,Lawrence,757,4,8:10pm
447,normal,weekend,N,Santa Clara,805,4,8:05pm
447,normal,weekend,N,San Jose,862,4,8:00pm
449,normal,weekend,N,San Francisco,0,1,10:36pm
449,normal,weekend,N,22nd Street,40,1,10:28pm
449,normal,weekend,N,Bayshore,124,1,10:23pm
449,normal,weekend,N,So. San Francisco,178,1,10:17pm
449,normal,weekend,N,San Bruno,216,1,10:12pm
449,normal,weekend,N,Millbrae,249,2,10:08pm
449,normal,weekend,N,Broadway,280,2,10:03pm
449,normal,weekend,N,Burlingame,307,2,10:00pm
449,normal,weekend,N,San Mateo,334,2,9:57pm
449,normal,weekend,N,Hayward Park,354,2,9:54pm
449,normal,weekend,N,Hillsdale,391,2,9:51pm
449,normal,weekend,N,Belmont,428,2,9:48pm
449,normal,weekend,N,San Carlos,458,2,9:45pm
449,normal,weekend,N,Redwood City,499,2,9:41pm
449,normal,weekend,N,Atherton,543,3,9:37pm
449,normal,weekend,N,Menlo Park,574,3,9:34pm
449,normal,weekend,N,Palo Alto,604,3,9:31pm
449,normal,weekend,N,California Ave,649,3,9:27pm
449,normal,weekend,N,San Antonio,676,3,9:23pm
449,normal,weekend,N,Mountain View,702,3,9:19pm
449,normal,weekend,N,Sunnyvale,731,3,9:14pm
449,normal,weekend,N,Lawrence,757,4,9:10pm
449,normal,weekend,N,Santa Clara,805,4,9:05pm
449,normal,weekend,N,San Jose,862,4,9:00pm
451,normal,weekend,N,San Francisco,0,1,12:06am
451,normal,weekend,N,22nd Street,40,1,11:58pm
451,normal,weekend,N,Bayshore,124,1,11:53pm
451,normal,weekend,N,So. San Francisco,178,1,11:47pm
451,normal,weekend,N,San Bruno,216,1,11:42pm
451,normal,weekend,N,Millbrae,249,2,11:38pm
451,normal,weekend,N,Broadway,280,2,11:33pm
451,normal,weekend,N,Burlingame,307,2,11:30pm
451,normal,weekend,N,San Mateo,334,2,11:27pm
451,normal,weekend,N,Hayward Park,354,2,11:24pm
451,normal,weekend,N,Hillsdale,391,2,11:21pm
451,normal,weekend,N,Belmont,428,2,11:18pm
451,normal,weekend,N,San Carlos,458,2,11:15pm
451,normal,weekend,N,Redwood City,499,2,11:11pm
451,normal,weekend,N,Atherton,543,3,11:07pm
451,normal,weekend,N,Menlo Park,574,3,11:04pm
451,normal,weekend,N,Palo Alto,604,3,11:01pm
451,normal,weekend,N,California Ave,649,3,10:57pm
451,normal,weekend,N,San Antonio,676,3,10:53pm
451,normal,weekend,N,Mountain View,702,3,10:49pm
451,normal,weekend,N,Sunnyvale,731,3,10:44pm
451,normal,weekend,N,Lawrence,757,4,10:40pm
451,normal,weekend,N,Santa Clara,805,4,10:35pm
451,normal,weekend,N,San Jose,862,4,10:30pm
